[2026-01-14 14:17:03,135] INFO in logging_config: Logging system initialized
[2026-01-14 14:26:24,136] INFO in logging_config: Logging system initialized
[2026-01-14 14:30:51,371] INFO in logging_config: Logging system initialized
[2026-01-14 14:30:51,568] INFO in app: Database tables created
[2026-01-14 14:34:04,655] INFO in logging_config: Logging system initialized
[2026-01-14 14:34:04,719] INFO in app: Database tables created
[2026-01-14 15:23:29,941] INFO in logging_config: Logging system initialized
[2026-01-14 15:23:30,005] INFO in app: Database tables created
[2026-01-14 15:30:41,621] INFO in logging_config: Logging system initialized
[2026-01-14 15:30:41,684] INFO in app: Database tables created
[2026-01-14 15:41:06,561] INFO in logging_config: Logging system initialized
[2026-01-14 15:41:06,774] INFO in app: Database tables created
[2026-01-14 15:45:16,898] INFO in logging_config: Logging system initialized
[2026-01-14 15:45:16,987] INFO in app: Database tables created
[2026-01-14 15:47:39,309] INFO in logging_config: Logging system initialized
[2026-01-14 15:47:39,482] INFO in app: Database tables created
[2026-01-14 15:50:29,427] INFO in logging_config: Logging system initialized
[2026-01-14 15:50:29,497] INFO in app: Database tables created
[2026-01-14 15:52:50,225] INFO in logging_config: Logging system initialized
[2026-01-14 15:52:50,281] INFO in app: Database tables created
[2026-01-14 15:52:56,192] INFO in app: Application initialized in development mode
[2026-01-14 15:52:56,196] INFO in run: ============================================================
[2026-01-14 15:52:56,197] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-14 15:52:56,198] INFO in run: ============================================================
[2026-01-14 15:52:56,199] INFO in run: Environment: development
[2026-01-14 15:52:56,199] INFO in run: Debug Mode: True
[2026-01-14 15:52:56,199] INFO in run: Model Version: 1.0.0
[2026-01-14 15:52:56,199] INFO in run: Model Loaded: False
[2026-01-14 15:52:56,199] INFO in run: Database: Connected
[2026-01-14 15:52:56,199] INFO in run: Server: http://0.0.0.0:5000
[2026-01-14 15:52:56,199] INFO in run: ============================================================
[2026-01-14 15:52:56,199] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-14 15:52:56,984] INFO in logging_config: Logging system initialized
[2026-01-14 15:52:57,063] INFO in app: Database tables created
[2026-01-14 15:53:04,148] INFO in app: Application initialized in development mode
[2026-01-14 15:53:04,148] INFO in run: ============================================================
[2026-01-14 15:53:04,148] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-14 15:53:04,148] INFO in run: ============================================================
[2026-01-14 15:53:04,148] INFO in run: Environment: development
[2026-01-14 15:53:04,148] INFO in run: Debug Mode: True
[2026-01-14 15:53:04,159] INFO in run: Model Version: 1.0.0
[2026-01-14 15:53:04,160] INFO in run: Model Loaded: False
[2026-01-14 15:53:04,161] INFO in run: Database: Connected
[2026-01-14 15:53:04,162] INFO in run: Server: http://0.0.0.0:5000
[2026-01-14 15:53:04,163] INFO in run: ============================================================
[2026-01-14 15:53:04,165] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 08:19:13,864] INFO in logging_config: Logging system initialized
[2026-01-15 08:19:13,940] INFO in app: Database tables created
[2026-01-15 08:19:19,911] INFO in app: Application initialized in development mode
[2026-01-15 08:19:19,912] INFO in run: ============================================================
[2026-01-15 08:19:19,913] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:19:19,913] INFO in run: ============================================================
[2026-01-15 08:19:19,915] INFO in run: Environment: development
[2026-01-15 08:19:19,915] INFO in run: Debug Mode: True
[2026-01-15 08:19:19,915] INFO in run: Model Version: 1.0.0
[2026-01-15 08:19:19,916] INFO in run: Model Loaded: False
[2026-01-15 08:19:19,916] INFO in run: Database: Connected
[2026-01-15 08:19:19,917] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:19:19,917] INFO in run: ============================================================
[2026-01-15 08:19:19,918] WARNING in run: Running in DEBUG mode - NOT suitable for production!
[2026-01-15 08:19:20,623] INFO in logging_config: Logging system initialized
[2026-01-15 08:19:20,809] INFO in app: Database tables created
[2026-01-15 08:19:26,756] INFO in app: Application initialized in development mode
[2026-01-15 08:19:26,772] INFO in run: ============================================================
[2026-01-15 08:19:26,774] INFO in run: Smart Grid Predictive Maintenance System
[2026-01-15 08:19:26,775] INFO in run: ============================================================
[2026-01-15 08:19:26,777] INFO in run: Environment: development
[2026-01-15 08:19:26,777] INFO in run: Debug Mode: True
[2026-01-15 08:19:26,777] INFO in run: Model Version: 1.0.0
[2026-01-15 08:19:26,777] INFO in run: Model Loaded: False
[2026-01-15 08:19:26,777] INFO in run: Database: Connected
[2026-01-15 08:19:26,777] INFO in run: Server: http://0.0.0.0:5000
[2026-01-15 08:19:26,777] INFO in run: ============================================================
[2026-01-15 08:19:26,777] WARNING in run: Running in DEBUG mode - NOT suitable for production!
